"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
224;"235899.jpg";"Albech";2997;"a";235899;"Andreas";"Albech";2;"";45;NA;NA;"0.1";"6.0";-5;0;5;0;FALSE;0;1,4;"0.3";3647;264;2;0;0;0;0;0;27;0;"2.1";"0.0";"0.0";FALSE;1070;0;1;3;17;0;0;3;2;0;0;0;2;10;2017-11-16;"Andreas Albech";"Forsvar";"SO8"
225;"39740.jpg";"Lund Nielsen";2997;"a";39740;"Matti";"Lund Nielsen";8;"";54;NA;NA;"1.4";"17.0";-1;0;1;0;FALSE;3;2,3;"7.3";2297;3150;17;13;0;0;0;0;92;0;"3.7";"7.0";"7.0";FALSE;2154;5;1;7;30;0;0;4;0;0;12;0;3;10;2017-11-16;"Matti Lund Nielsen";"Midtbane";"SO8"
226;"81832.jpg";"Hovda";2997;"a";81832;"Tor Øyvind";"Hovda";18;"";41;NA;NA;"0.1";"2.2";-4;0;4;0;FALSE;0;0,6;"0.3";457;231;2;6;0;0;0;0;9;1;"0.9";"0.0";"0.0";FALSE;59;0;0;0;2;0;0;1;0;0;0;0;3;10;2017-11-16;"Tor Øyvind Hovda";"Midtbane";"SO8"
227;"109022.jpg";"Tveita";2997;"a";109022;"Jon-Helge";"Tveita";22;"";46;NA;NA;"0.2";"7.6";-4;0;4;0;FALSE;0;0,3;"1.0";239;69;1;2;0;0;0;0;35;2;"2.1";"1.0";"1.0";FALSE;788;0;2;4;8;0;0;0;0;0;0;0;3;10;2017-11-16;"Jon-Helge Tveita";"Midtbane";"SO8"
228;"121176.jpg";"Trondsen";197;"a";121176;"Anders";"Trondsen";15;"";70;NA;NA;"0.2";"14.4";0;0;0;0;FALSE;3;21,4;"1.3";19083;25387;63;21;0;0;0;0;101;2;"3.9";"1.0";"1.0";FALSE;2069;3;6;9;21;0;0;5;0;0;15;0;3;8;2017-11-16;"Anders Trondsen";"Midtbane";"RBK"
229;"202253.jpg";"Normann Hansen";2997;"a";202253;"Kristoffer";"Normann Hansen";23;"";46;NA;NA;"0.3";"1.1";-4;0;4;0;FALSE;0;0,2;"1.3";136;20;0;0;0;0;0;0;5;2;"1.3";"1.0";"1.0";FALSE;94;0;0;0;1;0;0;0;0;0;0;0;3;10;2017-11-16;"Kristoffer Normann Hansen";"Midtbane";"SO8"
230;"207884.jpg";"Heintz";2997;"a";207884;"Tobias";"Heintz";14;"";44;NA;NA;"0.5";"14.8";-1;0;1;0;FALSE;1;2,7;"2.3";1676;2515;43;17;0;0;0;0;65;1;"3.1";"2.0";"2.0";FALSE;1052;3;3;4;13;0;0;0;0;0;6;0;3;10;2017-11-16;"Tobias Heintz";"Midtbane";"SO8"
231;"84457.jpg";"Halvorsen";2997;"a";84457;"Ole Jørgen";"Halvorsen";7;"";69;NA;NA;"0.6";"13.5";-1;0;1;0;FALSE;1;3,5;"4.0";2082;1500;33;11;0;0;0;0;93;0;"3.7";"4.0";"4.0";FALSE;1891;4;7;6;22;0;0;5;0;0;5;0;3;10;2017-11-16;"Ole Jørgen Halvorsen";"Midtbane";"SO8"
232;"79343.jpg";"Jørgensen";2997;"a";79343;"Joachim";"Jørgensen";11;"";55;NA;NA;"1.1";"12.4";0;0;0;0;FALSE;1;0,8;"6.3";585;568;0;3;0;0;0;0;68;2;"3.1";"6.0";"6.0";FALSE;1754;3;2;5;23;0;0;1;0;0;3;1;3;10;2017-11-16;"Joachim Jørgensen";"Midtbane";"SO8"
233;"85050.jpg";"Mortensen";2997;"a";85050;"Patrick";"Mortensen";69;"";76;NA;NA;"0.6";"15.8";11;1;-11;-1;FALSE;3;28,1;"4.3";13782;29690;166;115;0;0;0;0;120;6;"4.3";"4.0";"4.0";FALSE;2468;10;4;8;32;0;0;0;0;0;12;0;4;10;2017-11-16;"Patrick Mortensen";"Angrep";"SO8"
