"id";"round_id";"web_name";"status";"news";"chance_of_playing_this_round";"chance_of_playing_next_round";"ep_next";"element_type";"team";"posisjon";"team_navn";"selected_by_percent";"navn"
21;14;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;14;"Mos";"a";"";NA;NA;4;"4";1;"Angrep";"AAFK";22,5;"Mostafa Abdellaoue"
23;14;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,2;"Sebastian Andreassen"
24;14;"Berisha";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";1,8;"Valmir Berisha"
392;14;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,5;"Sigurd Tafjord"
413;14;"Veldwijk";"a";"";NA;NA;10;"4";1;"Angrep";"AAFK";2,8;"Lars Veldwijk"
1;18;"Lie";"a";"";NA;NA;1;"1";1;"Keeper";"AAFK";20,3;"Andreas Lie"
2;18;"Vestly Heigre";"a";"";NA;NA;1;"1";1;"Keeper";"AAFK";0,4;"Pål Vestly Heigre"
3;18;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,1;"Sondre Sødergren"
4;18;"Ramsteijn";"s";"Suspendert - Tilbake 19 august";NA;NA;0;"2";1;"Forsvar";"AAFK";1,2;"Kaj Ramsteijn"
5;18;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,3;"Oddbjørn Lie"
6;18;"Kirkeskov";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";2,7;"Mikkel Kirkeskov"
7;18;"Mäntylä";"u";"Kontrakt terminert";NA;"0";0;"2";1;"Forsvar";"AAFK";0,3;"Tero Mäntylä"
8;18;"Arnarson";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1;"Adam Arnarson"
9;18;"Grétarsson";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,6;"Daníel Grétarsson"
10;18;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";2,8;"Joakim Barstad"
11;18;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,9;"Lars Valderhaug"
12;18;"Riise";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";3,4;"Bjørn Helge Riise"
13;18;"Carlsen";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";3,3;"Fredrik Carlsen"
14;18;"Gyasi";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";6,9;"Edwin Gyasi"
15;18;"Thrandarson";"a";"";NA;NA;4;"3";1;"Midtbane";"AAFK";0,6;"Aron Elís Thrandarson"
16;18;"Hoff";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";1,5;"Vebjørn Hoff"
17;18;"Brunstad Fet";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";0,2;"Sondre Brunstad Fet"
18;18;"Marlinho";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,4;"Marlon Matheus da Silva"
19;18;"Hatlehol";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Jørgen Hatlehol"
20;18;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Anders Waagan"
21;18;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;18;"Mos";"a";"";NA;NA;7;"4";1;"Angrep";"AAFK";18,7;"Mostafa Abdellaoue"
23;18;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,2;"Sebastian Andreassen"
24;18;"Berisha";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";1,8;"Valmir Berisha"
392;18;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,5;"Sigurd Tafjord"
413;18;"Veldwijk";"u";"Låneavtale utløpt";"0";"0";0;"4";1;"Angrep";"AAFK";1,3;"Lars Veldwijk"
441;18;"Karlsbakk";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";0;"Markus Karlsbakk"
442;18;"Papazoglou";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";0,2;"Athanasios Papazoglou"
1;21;"Lie";"a";"";NA;NA;4;"1";1;"Keeper";"AAFK";18,9;"Andreas Lie"
3;21;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,3;"Sondre Sødergren"
4;21;"Ramsteijn";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,2;"Kaj Ramsteijn"
5;21;"Lie";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,3;"Oddbjørn Lie"
6;21;"Kirkeskov";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";2,3;"Mikkel Kirkeskov"
7;21;"Mäntylä";"u";"Kontrakt terminert";"0";"0";0;"2";1;"Forsvar";"AAFK";0,3;"Tero Mäntylä"
8;21;"Arnarson";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1;"Adam Arnarson"
9;21;"Grétarsson";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1,3;"Daníel Grétarsson"
10;21;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";2,9;"Joakim Barstad"
11;21;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1;"Lars Valderhaug"
12;21;"Riise";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";3,3;"Bjørn Helge Riise"
13;21;"Carlsen";"a";"";NA;NA;4;"3";1;"Midtbane";"AAFK";3,1;"Fredrik Carlsen"
14;21;"Gyasi";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";5,2;"Edwin Gyasi"
15;21;"Thrandarson";"a";"";NA;NA;5;"3";1;"Midtbane";"AAFK";0,6;"Aron Elís Thrandarson"
16;21;"Hoff";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";1,4;"Vebjørn Hoff"
17;21;"Brunstad Fet";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";0,2;"Sondre Brunstad Fet"
18;21;"Marlinho";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";0,4;"Marlon Matheus da Silva"
